ID,Action State,Description
0,DeadDown,Standard downward death
1,DeadLeft,Standard leftward death
2,DeadRight,Standard rightward death
3,DeadUp,"Upward death used in 1P ""Team Kirby"", etc."
4,DeadUpStar,Standard Star KO
5,DeadUpStarIce,Star KO while encased in ice (Freezie)
6,,"64-esque front fall, unused, I believe"
7,DeadUpFallHitCamera,
8,DeadUpFallHitCameraFlat,
9,DeadUpFallIce,
000A,DeadUpFallHitCameraIce,
000B,Sleep,"""Nothing"" state, probably - it is the state Shiek/Zelda is in when their counterpart is the one currently playing. Also state of Nana when Sopo is alive"
000C,Rebirth,Entering on halo
000D,RebirthWait,Waiting on halo
000E,Wait,Standing state
000F,WalkSlow,
10,WalkMiddle,
11,WalkFast,
12,Turn,
13,TurnRun,
14,Dash,
15,Run,
16,RunDirect,
17,RunBrake,
18,KneeBend,Pre-jump animation
19,JumpF,First jump forward
001A,JumpB,First jump backward
001B,JumpAerialF,Aerial jump forward
001C,JumpAerialB,Aerial jump backward
001D,Fall,Falling straight down
001E,FallF,Falling with forward DI
001F,FallB,Falling with backward DI
20,FallAerial,Falling after the second jump
21,FallAerialF,Falling after the second jump with forward DI
22,FallAerialB,Falling after the second jump with backward DI
23,FallSpecial,Special fall after UpB or airdodge
24,FallSpecialF,Special fall with forward DI
25,FallSpecialB,Special fall with backward DI
26,DamageFall,Tumbling
27,Squat,Going from stand to crouch
28,SquatWait,Crouching
29,SquatRv,Going from crouch to stand
002A,Landing,
002B,LandingFallSpecial,Landing from special fall
002C,Attack11,Standard attack 1
002D,Attack12,Standard attack 2
002E,Attack13,Standard attack 3
002F,Attack100Start,Start of a looping standard attack
30,Attack100Loop,Middle of a looping standard attack
31,Attack100End,End of a looping standard attack
32,AttackDash,Dash attack
33,AttackS3Hi,High Ftilt
34,AttackS3HiS,High-mid Ftilt
35,AttackS3S,Mid Ftilt
36,AttackS3LwS,Low-mid Ftilt
37,AttackS3Lw,Low Ftilt
38,AttackHi3,Uptilt
39,AttackLw3,Downtilt
003A,AttackS4Hi,High Fsmash
003B,AttackS4HiS,High-mid Fsmash
003C,AttackS4S,Mid Fsmash
003D,AttackS4LwS,Low-mid Fsmash
003E,AttackS4Lw,Low Fsmash
003F,AttackHi4,Upsmash
40,AttackLw4,Downsmash
41,AttackAirN,Nair
42,AttackAirF,Fair
43,AttackAirB,Bair
44,AttackAirHi,Uair
45,AttackAirLw,Dair
46,LandingAirN,Landing during Nair
47,LandingAirF,Landing during Fair
48,LandingAirB,Landing during Bair
49,LandingAirHi,Landing during Uair
004A,LandingAirLw,Landing during Dair
004B,DamageHi1,
004C,DamageHi2,
004D,DamageHi3,
004E,DamageN1,
004F,DamageN2,
50,DamageN3,
51,DamageLw1,
52,DamageLw2,
53,DamageLw3,
54,DamageAir1,
55,DamageAir2,
56,DamageAir3,
57,DamageFlyHi,
58,DamageFlyN,
59,DamageFlyLw,
005A,DamageFlyTop,
005B,DamageFlyRoll,
005C,LightGet,Picking up an item
005D,HeavyGet,Picking up a heavy item (barrel)
005E,LightThrowF,Throwing items at standard speed
005F,LightThrowB,
60,LightThrowHi,
61,LightThrowLw,
62,LightThrowDash,
63,LightThrowDrop,
64,LightThrowAirF,
65,LightThrowAirB,
66,LightThrowAirHi,
67,LightThrowAirLw,
68,HeavyThrowF,
69,HeavyThrowB,
006A,HeavyThrowHi,
006B,HeavyThrowLw,
006C,LightThrowF4,Throwing items at Smash speed
006D,LightThrowB4,
006E,LightThrowHi4,
006F,LightThrowLw4,
70,LightThrowAirF4,
71,LightThrowAirB4,
72,LightThrowAirHi4,
73,LightThrowAirLw4,
74,HeavyThrowF4,
75,HeavyThrowB4,
76,HeavyThrowHi4,
77,HeavyThrowLw4,
78,SwordSwing1,Beam sword swings
79,SwordSwing3,
007A,SwordSwing4,
007B,SwordSwingDash,
007C,BatSwing1,Home Run Bat swings
007D,BatSwing3,
007E,BatSwing4,
007F,BatSwingDash,
80,ParasolSwing1,Parasol swings
81,ParasolSwing3,
82,ParasolSwing4,
83,ParasolSwingDash,
84,HarisenSwing1,Fan swings
85,HarisenSwing3,
86,HarisenSwing4,
87,HarisenSwingDash,
88,StarRodSwing1,Star Rod swings
89,StarRodSwing3,
008A,StarRodSwing4,
008B,StarRodSwingDash,
008C,LipStickSwing1,Lip's Stick swings
008D,LipStickSwing3,
008E,LipStickSwing4,
008F,LipStickSwingDash,
90,ItemParasolOpen,
91,ItemParasolFall,
92,ItemParasolFallSpecial,
93,ItemParasolDamageFall,
94,LGunShoot,Raygun shots
95,LGunShootAir,
96,LGunShootEmpty,
97,LGunShootAirEmpty,
98,FireFlowerShoot,
99,FireFlowerShootAir,
009A,ItemScrew,
009B,ItemScrewAir,
009C,DamageScrew,
009D,DamageScrewAir,
009E,ItemScopeStart,
009F,ItemScopeRapid,
00A0,ItemScopeFire,
00A1,ItemScopeEnd,
00A2,ItemScopeAirStart,
00A3,ItemScopeAirRapid,
00A4,ItemScopeAirFire,
00A5,ItemScopeAirEnd,
00A6,ItemScopeStartEmpty,
00A7,ItemScopeRapidEmpty,
00A8,ItemScopeFireEmpty,
00A9,ItemScopeEndEmpty,
00AA,ItemScopeAirStartEmpty,
00AB,ItemScopeAirRapidEmpty,
00AC,ItemScopeAirFireEmpty,
00AD,ItemScopeAirEndEmpty,
00AE,LiftWait,
00AF,LiftWalk1,
00B0,LiftWalk2,
00B1,LiftTurn,
00B2,GuardOn,
00B3,Guard,Holding shield
00B4,GuardOff,
00B5,GuardSetOff,Shield stun
00B6,GuardReflect,
00B7,DownBoundU,"The ""failed to tech"" bounce, facing up"
00B8,DownWaitU,Laying on ground facing up
00B9,DownDamageU,Getting hit laying on ground facing up
00BA,DownStandU,
00BB,DownAttackU,Get up attack from ground face up
00BC,DownFowardU,
00BD,DownBackU,
